run_id,iteration,target,bug_type,bug_key,input_data,stdout,stderr,returncode,timed_out,crashed,strategy,timestamp,is_representative
20260422_160749,1,cidrize,SYNTACTIC,67f0e1c369b1332e,102.04.196.*,"Running cidrize function with the arguments: ipstr: 102.04.196.* strict: False raise-errors: True
Syntax error caught for ipstr.
============================================================
TRACEBACK
============================================================
============================================================
Final bug count: defaultdict(<class 'int'>, {('syntactic', <class 'netaddr.core.AddrFormatError'>, ""failed to detect a valid IP address from '102.04.196.0'"", 'netaddr\\ip\\","Traceback (most recent call last):
  File ""cidrize_runner_stv.py"", line 247, in <module>
  File ""buggy_cidrize\cidrize_stv.py"", line 468, in cidrize
  File ""netaddr\ip\glob.py"", line 281, in __init__
  File ""netaddr\ip\glob.py"", line 96, in glob_to_iptuple
  File ""netaddr\ip\__init__.py"", line 341, in __init__
netaddr.core.AddrFormatError: failed to detect a valid IP address from '102.04.196.0'
Traceback (most recent call last):
  File ""cidrize_runner_stv.py"", line 247, in <module>
  Fi",0,FALSE,FALSE,swap_chars,4/22/2026 16:07,TRUE
20260422_160749,2,cidrize,SYNTACTIC,916873d4343b3bff,174.2p06.63.*,"Running cidrize function with the arguments: ipstr: 174.2p06.63.* strict: False raise-errors: True
Syntax error caught for ipstr.
============================================================
TRACEBACK
============================================================
============================================================
Final bug count: defaultdict(<class 'int'>, {('syntactic', <class 'netaddr.core.AddrFormatError'>, 'invalid IPNetwork 174.2p06.63.*', 'netaddr\\ip\\__init__.py', 1045): 1}","Traceback (most recent call last):
  File ""netaddr\fbsocket.py"", line 126, in _inet_pton_af_inet
ValueError: invalid literal for int() with base 10: '2p06'

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""netaddr\strategy\ipv4.py"", line 128, in str_to_int
  File ""netaddr\fbsocket.py"", line 147, in inet_pton
  File ""netaddr\fbsocket.py"", line 128, in _inet_pton_af_inet
OSError: illegal IP address string '174.2p06.63.*'

D",0,FALSE,FALSE,byte_insert,4/22/2026 16:08,FALSE
20260422_160749,4,cidrize,SYNTACTIC,aa65bcb768c149a1,1174.206.63.*,"Running cidrize function with the arguments: ipstr: 1174.206.63.* strict: False raise-errors: True
Syntax error caught for ipstr.
============================================================
TRACEBACK
============================================================
============================================================
Final bug count: defaultdict(<class 'int'>, {('syntactic', <class 'netaddr.core.AddrFormatError'>, ""not a recognised IP glob range: '1174.206.63.*'!"", 'netaddr\\ip\\glob.p","Traceback (most recent call last):
  File ""cidrize_runner_stv.py"", line 247, in <module>
  File ""buggy_cidrize\cidrize_stv.py"", line 468, in cidrize
  File ""netaddr\ip\glob.py"", line 281, in __init__
  File ""netaddr\ip\glob.py"", line 79, in glob_to_iptuple
netaddr.core.AddrFormatError: not a recognised IP glob range: '1174.206.63.*'!
Traceback (most recent call last):
  File ""cidrize_runner_stv.py"", line 247, in <module>
  File ""buggy_cidrize\cidrize_stv.py"", line 468, in cidrize
  File",0,FALSE,FALSE,byte_insert,4/22/2026 16:09,FALSE
20260422_160749,16,cidrize,SYNTACTIC,4f9ccecad997f4ea,54.246.203.168686868686868-5,"Running cidrize function with the arguments: ipstr: 54.246.203.168686868686868-5 strict: False raise-errors: True
Syntax error caught for ipstr.
============================================================
TRACEBACK
============================================================
============================================================
Final bug count: defaultdict(<class 'int'>, {('syntactic', <class 'netaddr.core.AddrFormatError'>, ""failed to detect a valid IP address from '54.246.203.168","Traceback (most recent call last):
  File ""cidrize_runner_stv.py"", line 247, in <module>
  File ""buggy_cidrize\cidrize_stv.py"", line 461, in cidrize
  File ""buggy_cidrize\cidrize_stv.py"", line 262, in parse_hyphen
  File ""netaddr\ip\__init__.py"", line 1475, in __init__
  File ""netaddr\ip\__init__.py"", line 341, in __init__
netaddr.core.AddrFormatError: failed to detect a valid IP address from '54.246.203.168686868686868'
Traceback (most recent call last):
  File ""cidrize_runner_stv.py"", ",0,FALSE,FALSE,repeat_chunk,4/22/2026 16:16,FALSE
20260422_160749,18,cidrize,FUNCTIONAL,04d990da15ef86fc,203.187.45.241[228-161],"Running cidrize function with the arguments: ipstr: 203.187.45.241[228-161] strict: False raise-errors: True
A functional bug has been triggered: 1-indexing used instead of 0-indexing.
============================================================
TRACEBACK
============================================================
============================================================
Final bug count: defaultdict(<class 'int'>, {('functional', <class 'buggy_cidrize.cidrize_stv.FunctionalBug'>, '1-in","Traceback (most recent call last):
  File ""cidrize_runner_stv.py"", line 247, in <module>
  File ""buggy_cidrize\cidrize_stv.py"", line 474, in cidrize
  File ""buggy_cidrize\cidrize_stv.py"", line 240, in parse_brackets
buggy_cidrize.cidrize_stv.FunctionalBug: 1-indexing used instead of 0-indexing.
",0,FALSE,FALSE,radamsa,4/22/2026 16:17,TRUE
20260422_160749,34,cidrize,SYNTACTIC,9b3889c4f38ba8bf,232.211.219.222-74,"Running cidrize function with the arguments: ipstr: 232.211.219.222-74 strict: False raise-errors: True
Syntax error caught for ipstr.
============================================================
TRACEBACK
============================================================
============================================================
Final bug count: defaultdict(<class 'int'>, {('syntactic', <class 'netaddr.core.AddrFormatError'>, 'lower bound IP greater than upper bound!', 'netaddr\\ip\\__init__.","Traceback (most recent call last):
  File ""cidrize_runner_stv.py"", line 247, in <module>
  File ""buggy_cidrize\cidrize_stv.py"", line 461, in cidrize
  File ""buggy_cidrize\cidrize_stv.py"", line 262, in parse_hyphen
  File ""netaddr\ip\__init__.py"", line 1479, in __init__
netaddr.core.AddrFormatError: lower bound IP greater than upper bound!
Traceback (most recent call last):
  File ""cidrize_runner_stv.py"", line 247, in <module>
  File ""buggy_cidrize\cidrize_stv.py"", line 461, in cidrize
 ",0,FALSE,FALSE,grammar_mutate,4/22/2026 16:26,FALSE
20260422_160749,40,cidrize,MISMATCH,482f02274fe88759,104.150.17.49-253.183.71.84,"Running cidrize function with the arguments: ipstr: 104.150.17.49-253.183.71.84 strict: False raise-errors: True
Output: [IPNetwork('104.150.17.49/32'), IPNetwork('104.150.17.50/31'), IPNetwork('104.150.17.52/30'), IPNetwork('104.150.17.56/29'), IPNetwork('104.150.17.64/26'), IPNetwork('104.150.17.128/25'), IPNetwork('104.150.18.0/23'), IPNetwork('104.150.20.0/22'), IPNetwork('104.150.24.0/21'), IPNetwork('104.150.32.0/19'), IPNetwork('104.150.64.0/18'), IPNetwork('104.150.128.0/17'), IPNetwork",,0,FALSE,FALSE,radamsa,4/22/2026 16:29,TRUE
20260422_160749,71,cidrize,SYNTACTIC,671e9a8d9e49cb64,104.150.17.49-253.183.718.4,"Running cidrize function with the arguments: ipstr: 104.150.17.49-253.183.718.4 strict: False raise-errors: True
Syntax error caught for ipstr.
============================================================
TRACEBACK
============================================================
============================================================
Final bug count: defaultdict(<class 'int'>, {('syntactic', <class 'netaddr.core.AddrFormatError'>, ""base address '253.183.718.4' is not IPv4"", 'netaddr\\ip\\","Traceback (most recent call last):
  File ""netaddr\strategy\ipv4.py"", line 128, in str_to_int
  File ""netaddr\fbsocket.py"", line 147, in inet_pton
  File ""netaddr\fbsocket.py"", line 131, in _inet_pton_af_inet
OSError: illegal IP address string '253.183.718.4'

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""netaddr\ip\__init__.py"", line 346, in __init__
  File ""netaddr\strategy\ipv4.py"", line 132, in str_to_int
netaddr.co",0,FALSE,FALSE,swap_chars,4/22/2026 16:45,FALSE
20260422_160749,89,cidrize,SYNTACTIC,50bbc6c1c4d7b492,192192192192192192192192.0.2.18,"Running cidrize function with the arguments: ipstr: 192192192192192192192192.0.2.18 strict: False raise-errors: True
Syntax error caught for ipstr.
============================================================
TRACEBACK
============================================================
============================================================
Final bug count: defaultdict(<class 'int'>, {('syntactic', <class 'netaddr.core.AddrFormatError'>, 'invalid IPNetwork 192192192192192192192192.0.2.18', '","Traceback (most recent call last):
  File ""netaddr\strategy\ipv4.py"", line 128, in str_to_int
  File ""netaddr\fbsocket.py"", line 147, in inet_pton
  File ""netaddr\fbsocket.py"", line 131, in _inet_pton_af_inet
OSError: illegal IP address string '192192192192192192192192.0.2.18'

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""netaddr\ip\__init__.py"", line 346, in __init__
  File ""netaddr\strategy\ipv4.py"", line 132, in str_",0,FALSE,FALSE,repeat_chunk,4/22/2026 16:52,FALSE
20260422_160749,96,cidrize,MISMATCH,01f1905c227de7a1,104.150.17.59-253.183.71.84,"Running cidrize function with the arguments: ipstr: 104.150.17.59-253.183.71.84 strict: False raise-errors: True
Output: [IPNetwork('104.150.17.59/32'), IPNetwork('104.150.17.60/30'), IPNetwork('104.150.17.64/26'), IPNetwork('104.150.17.128/25'), IPNetwork('104.150.18.0/23'), IPNetwork('104.150.20.0/22'), IPNetwork('104.150.24.0/21'), IPNetwork('104.150.32.0/19'), IPNetwork('104.150.64.0/18'), IPNetwork('104.150.128.0/17'), IPNetwork('104.151.0.0/16'), IPNetwork('104.152.0.0/13'), IPNetwork('10",,0,FALSE,FALSE,bit_flip,4/22/2026 16:55,FALSE
20260422_160749,114,cidrize,SYNTACTIC,d366bd970bc86b04,19191919191919192.163.50.225-247.232.122.77,"Running cidrize function with the arguments: ipstr: 19191919191919192.163.50.225-247.232.122.77 strict: False raise-errors: True
Syntax error caught for ipstr.
============================================================
TRACEBACK
============================================================
============================================================
Final bug count: defaultdict(<class 'int'>, {('syntactic', <class 'netaddr.core.AddrFormatError'>, ""failed to detect a valid IP address from ","Traceback (most recent call last):
  File ""cidrize_runner_stv.py"", line 247, in <module>
  File ""buggy_cidrize\cidrize_stv.py"", line 451, in cidrize
  File ""buggy_cidrize\cidrize_stv.py"", line 275, in parse_range
  File ""netaddr\ip\__init__.py"", line 1475, in __init__
  File ""netaddr\ip\__init__.py"", line 341, in __init__
netaddr.core.AddrFormatError: failed to detect a valid IP address from '19191919191919192.163.50.225'
Traceback (most recent call last):
  File ""cidrize_runner_stv.py"",",0,FALSE,FALSE,repeat_chunk,4/22/2026 17:03,FALSE
